Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
TTRAK;257.62;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%41;258.52;255.73;257.49;252.84;246.22;262.14;267.89;277.19;660.0;0.48
TURSG;1.11;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%28;1.12;1.11;1.11;1.10;1.10;1.12;1.12;1.13;635.0;1.63
RALYH;11.16;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%57;11.34;10.68;10.04;9.28;8.66;11.28;12.70;14.50;140.0;0.37
EUPWR;28.73;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%61;31.71;26.76;25.47;23.44;21.81;32.50;37.29;42.58;125.0;1.51
KLRHO;10.65;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;12.49;9.06;10.57;10.40;;10.71;10.80;10.89;125.0;1.16
TRMET;41.52;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%28;42.64;40.64;41.25;40.87;40.56;41.86;42.57;43.47;125.0;1.27
TUREX;2.50;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%47;2.75;1.84;2.48;;;2.51;2.53;2.55;125.0;0.38
QUAGR;7.65;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%51;7.67;7.57;7.50;7.37;7.24;7.65;7.90;8.20;120.0;0.33
CWENE;15.05;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%25;15.85;13.93;15.04;14.85;14.65;15.29;15.69;16.14;115.0;0.72
DOAS;90.93;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%23;91.22;90.73;90.37;88.51;86.14;91.68;92.98;94.60;115.0;1.5
DAPGM;3.72;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%0;3.98;3.42;3.67;3.56;3.42;3.74;3.82;3.92;110.0;0.86
OYAKC;8.38;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%41;8.47;8.25;8.38;8.32;8.25;8.45;8.58;8.72;110.0;0.67
THYAO;132.37;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%34;133.05;131.41;130.67;129.14;127.62;132.55;135.59;139.10;110.0;0.71
BRSAN;168.00;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%55;170.01;166.05;146.69;133.33;122.53;168.30;193.20;224.88;105.0;1.03
BTCIM;1.19;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;1.19;1.18;1.17;1.15;1.14;1.19;1.22;1.26;105.0;0.41
